Dates,Sermon Series,Sermon Title,Sermon Text,Preacher
2-Feb-2025,What does Jesus have to say to His church? (Revelation 1-3),You tolerate false teaching,Revelation 2:18 - 29,Looi Kwok Peng
9-Feb-2025,What does Jesus have to say to His church? (Revelation 1-3),You are rich,Revelation 2:8 - 11,Lincoln
16-Feb-2025,What does Jesus have to say to His church? (Revelation 1-3),You have compromised,Revelation 2:12 to 3:6,Lincoln
23-Feb-2025,What does Jesus have to say to His church? (Revelation 1-3),You have little strength,Revelation 3:7 - 13,Lincoln
2-Mar-2025,What does Jesus have to say to His church? (Revelation 1-3),You are lukewarm (Combined AGM),Revelation 3:14 - 22,Lincoln
9-Mar-2025,Dangerous Questions for Grumblers (Malachi),How have you loved us?,Malachi 1:1 - 5,Lincoln
16-Mar-2025,Dangerous Questions for Grumblers (Malachi),Surely God is pleased with our offerings?,Malachi 1:6 - 2:9,Daniel Lee
23-Mar-2025,Dangerous Questions for Grumblers (Malachi),Why does God ignore us?,Malachi 2:10 - 16,Nethanel Ng
30-Mar-2025,Dangerous Questions for Grumblers (Malachi),Where is the God of Justice?,Malachi 2:17 - 3:5,Terence Seah
6-Apr-2025,Dangerous Questions for Grumblers (Malachi),Why waste my time to serve God?,Malachi 3:6 - 18,Yap Poh Kheng
13-Apr-2025,Dangerous Questions for Grumblers (Malachi),To those who stop grumbling,Malachi 3:16 - 4:6,Ma Fan Yung
18-Apr-2025,Good Friday,Good Friday Devotional,Isaiah 52:13-53:12,Lincoln
20-Apr-2025,"I would like to believe, but...",Christianity is just a crutch for the weak,1 John 1:1-10,Lincoln
27-Apr-2025,"I would like to believe, but...",There's too much suffering in the world,"Luke 13:1-5, 10-17",Lincoln
4-May-2025,"I would like to believe, but...",Christians are intolerant,"John 3:1-3, 16-18",Lincoln
11-May-2025,"I would like to believe, but...",It's not relevant for me,John 4:4-29,Lincoln
18-May-2025,The Lamb wins! (Revelation 4-15),A Beautiful Setting,Revelation 4,Lincoln
25-May-2025,The Lamb wins! (Revelation 4-15),The Incredible Drama,Revelation 5,Rodney
1-Jun-2025,The Lamb wins! (Revelation 4-15),The Seals,Revelation 6,Lincoln
8-Jun-2025,The Lamb wins! (Revelation 4-15),Salvation belongs to our God,Revelation 7:9 - 8:5,Lincoln
12-Jun-2025,Standing Firm In Our World (Church Camp),Standing Firm In a World of Fear,Isaiah 41:1-20,Johnny McClean
13-Jun-2025,Standing Firm In Our World (Church Camp),Standing Firm In a World of Distraction,Hebrews 12:1-17,Johnny McClean
14-Jun-2025,Standing Firm In Our World (Church Camp),Standing Firm In a World of Compromise,Romans 11:33-12:2,Johnny McClean
15-Jun-2025,Standing Firm In Our World (Church Camp),Standing Firm In a World of Opposition,1 Peter 5:6-11,Johnny McClean
22-Jun-2025,The Lamb wins! (Revelation 4-16),The warnings that went unheeded,Revelation 8:6 - 9:21,Lincoln
29-Jun-2025,The Lamb wins! (Revelation 4-16),The scroll that tasted sweet,Revelation 10:1 - 11,Lincoln
6-Jul-2025,BCC Anniversary,The Church God is growing us to be,Colossians 3:12-17,Lincoln
13-Jul-2025,The Lamb wins! (Revelation 4-16),The Breath of Life from God,Revelation 11:1 - 19,Lincoln
20-Jul-2025,The Lamb wins! (Revelation 4-16),The Accuser is hurled down,Revelation 12:1 - 13:1,LIncoln
27 Jul 2025,Open Ministry,Praise in the midst of pain,Psalm 34,Kwok Peng
3-Aug-2025,The Lamb wins! (Revelation 4-16),A Tale of Two Beasts,Revelation 13:1 - 18,Lincoln
10-Aug-2025,The Lamb wins! (Revelation 4-16),A Call to Patient Endurance,Revelation 14:1 - 20,Lincoln
17-Aug-2025,The Lamb wins! (Revelation 4-16),The Seven Last Plagues,Revelation 15:1 - 16:21,Lincoln
24-Aug-2025,Missions Month,"Vision & Mission, Worship & Witness",Revelation 5:9-10,Khai Mun
31-Aug-2025,Missions Month,The Word's Searching Demand,Acts 4:32 - 5:16,Joshua
7-Sep-2025,Missions Month,The Word's Unstoppable Advance,Acts 5:17 - 42,Terence
14-Sep-2025,Missions Month,The Word's Absolute Priority,Acts 6:1 - 7,Lincoln
21-Sep-2025,Sex in the City (Song of Songs),Guideposts for our journey,Song of Songs 1:1,Lincoln
28-Sep-2025,Sex in the City (Song of Songs),A Delightful Love,Song of Songs 1:2 - 4,Lincoln
5-Oct-2025,Sex in the City (Song of Songs),A Transforming Love,Song of Songs 1:5 - 2:7,Lincoln
12-Oct-2025,Sex in the City (Song of Songs),A Determined Love,Song of Songs 2:8 - 3:10,Lincoln
19-Oct-2025,Sex in the City (Song of Songs),The Messiness of Love,Song of Songs 5:2 - 6:3,Lincoln
26-Oct-2025,Sex in the City (Song of Songs),The Strength of Love,Song of Songs 8:5 - 14,Lincoln
2-Nov-2025,Membership Sunday,Membership Matters,Romans 12:1-13,Lincoln
9-Nov-2025,Ruth,Returning Home,Ruth 1,Lincoln
16-Nov-2025,Ruth,Meet the Redeemer,Ruth 2,Lincoln
23-Nov-2025,Ruth,Trust the Redeemer,Ruth 3,Lincoln
30-Nov-2025,Ruth,The Costly Plan of Redemption,Ruth 4,Bryan
7-Dec-2025,Christmas Carols,"O Come, O Come Emmanuel",Isaiah 9:1 - 7,Terence
